,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
CDK4,0.0,0.0,0.0,0.0019770975,0.0038851474,0.0019254998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0019097722,0.0,0.0,0.0,0.0,0.001050553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0031905035
CDKN2A,0.0,0.0,0.0,0.0,0.0,0.0009509289,0.0,0.0,0.0,0.0,0.0012082132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001301192,0.0,0.0,0.0,0.0010969043
CEBPD,0.0,0.0,0.0,0.0,0.0074237445,0.0,0.0,0.0,0.0052874456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0060218344
SH2D1A,0.0,0.0,0.0,0.0,0.0030394709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023797967
IL10,0.0011838347,0.00084795326,0.0012252256,0.0015413018,0.0016672381,0.0019380596,0.0,0.0012378083,0.0014407078,0.0012773734,0.0023315235,0.0,0.001373749,0.0,0.0,0.0,0.0017270761,0.0,0.0,0.0,0.0015679334,0.0,0.0,0.0,0.0,0.0,0.0,0.003087782,0.0,0.0,0.0023002985
CDKN1B,0.0,0.0017229248,0.0,0.0,0.002487396,0.0016807632,0.0,0.0,0.0018216025,0.0,0.0013352984,0.0,0.002490579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011184054,0.0014094574,0.0,0.0,0.002644378,0.0,0.0,0.0,0.0,0.0,0.0021190117
PIK3R1,0.0019288113,0.0,0.0034972883,0.0,0.0042622997,0.0,0.0,0.0,0.0021286951,0.0,0.0,0.0,0.0,0.0036754704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005784588
ACTB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14408548,0.0,0.114984006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05234831
CCND2,0.0010344984,0.001926198,0.0,0.0,0.0023342406,0.0019059969,0.0031871304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013393888,0.0010114594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027606096
MSR1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003944014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026893592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055997567
LCK,0.0,0.0,0.0,0.012088602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018337714
ACAT1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011372024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001974283
ACP5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002919124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0087711075
TNFSF11,0.0005073195,0.0,0.0,0.0,0.00040628697,0.0,0.0,0.0,0.0006024201,0.000572786,0.00031654432,0.0,0.0005297714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00024659373
SHC1,0.00080411177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016319685
PPIG,0.0,0.002177121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0076531568
NCAM1,0.0,0.0,0.0,0.0,0.0,0.0004688458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00093035796,0.0,0.0,0.0,0.00022174024,0.0,0.0,0.00077504345,0.0,0.0,0.0,0.0,0.0,0.00044345512
