,STAT5A,STAT5B,STAT4,IRF1,STAT3,IRF2,STAT1,IRF8,STAT6,IRF4,IRF3,IRF5,STAT2,IRF7,IRF9,IRF6,unannotated_1
EED,0.021264417,0.0,0.021264417,0.021264417,0.05458193,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.053039543
FASN,0.0566908,0.021264417,0.021264417,0.021264417,0.05314393,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.05255428
IL12RB2,0.021264417,0.021264417,0.054031353,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.0,0.0,0.052671414
AKR1C1,0.021264417,0.057165116,0.021264417,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.0,0.0,0.051567577
IRS2,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.055228103,0.0,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.05447205
CCR4,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.054144792,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.05367162
MICB,0.0,0.0,0.0,0.0,0.052451957,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.053838264
EGR1,0.021264417,0.021264417,0.021264417,0.021264417,0.055185996,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.054462112
STK35,0.0,0.0,0.0,0.0,0.053190805,0.0,0.021264417,0.0,0.021264417,0.021264417,0.021264417,0.021264417,0.021264417,0.0,0.021264417,0.021264417,0.05292822
WWTR1,0.0,0.0,0.0,0.0,0.054200165,0.021264417,0.021264417,0.0,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.053099178
ANXA1,0.0,0.021264417,0.021264417,0.021264417,0.062045462,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.06141436
IGFBP2,0.021264417,0.021264417,0.0,0.0,0.05449184,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.021264417,0.0,0.021264417,0.0,0.0,0.05235939
POLR2H,0.021264417,0.0,0.0,0.0,0.055502452,0.021264417,0.0,0.0,0.0,0.021264417,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.05384652
GPR146,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.0550797,0.021264417,0.0,0.0,0.05545937,0.0,0.021264417,0.0,0.0,0.021264417,0.054623872
AIM2,0.0,0.021264417,0.0,0.0,0.0,0.0,0.05413078,0.0,0.021264417,0.0,0.0,0.0,0.0,0.021264417,0.0,0.0,0.053080298
ATG4C,0.0,0.0,0.021264417,0.021264417,0.0,0.021264417,0.054937005,0.0,0.021264417,0.0,0.0,0.021264417,0.0,0.021264417,0.021264417,0.0,0.053319413
