,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10577523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14486519
CCL5,0.0,0.0,0.0,0.0022968624,0.012650124,0.0,0.0,0.047834776,0.0058023543,0.045378704,0.0,0.0,0.0,0.0,0.0,0.0019342162,0.005921055,0.0,0.0,0.0021804892,0.0,0.0,0.0,0.0,0.0,0.0,0.08474888,0.0,0.0,0.0,0.006130814
FASLG,0.0,0.0,0.0,0.00063470326,0.004706358,0.0,0.0,0.007849854,0.0043784995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029894377
MAPK8,0.0016345257,0.0,0.0,0.00093714736,0.00094296335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005451218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010852744
MYB,0.0,0.0,0.0,0.00016629644,0.0005286815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00095063244
BIRC3,0.0,0.0,0.0,0.002624992,0.009001958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013487816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016846962
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00860459,0.0,0.0041568745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031191375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027736003
CDKN2D,0.0,0.0,0.0,0.0,0.0023758393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002700847
SOCS1,0.0086424975,0.0,0.0,0.0035249763,0.010067952,0.0,0.0,0.0,0.0020073815,0.0,0.015630048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008068247
MMP9,0.0,0.0,0.0,0.00035954834,0.0006252052,0.0,0.0,0.0,0.00040047386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004756837
CDK4,0.0,0.0,0.0,0.0005989736,0.0032683683,0.004122851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024689822,0.0,0.0,0.0,0.0,0.0036850325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032612698
CDKN2A,0.0,0.0,0.0,0.0,0.0,0.0010338646,0.0,0.0,0.0,0.0,0.001089805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013781606,0.0,0.0,0.0,0.0005683996
CEBPD,0.0,0.0,0.0,0.0,0.0063381055,0.0,0.0,0.0,0.002979525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010250824
SH2D1A,0.0,0.0,0.0,0.0,0.0033118383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0033813152
IL10,0.0017201421,0.001056618,0.0010958454,0.0013848547,0.0023157306,0.0010332549,0.0,0.0011451285,0.0007079769,0.0014386432,0.0017872303,0.0,0.0014949461,0.0,0.0,0.0,0.0015501394,0.0,0.0,0.0,0.0014600528,0.0,0.0,0.0,0.0,0.0,0.0,0.0022846526,0.0,0.0,0.001152849
