,STAT5A,STAT5B,STAT4,IRF1,STAT3,RUNX1,GTF2I,IRF2,STAT1,IRF8,STAT6,APEX1,IRF4,MYOD1,ARHGAP35,IRF3,IRF5,ALX4,STAT2,IRF7,KLF4,IRF9,AHRR,AEBP1,SOX2,THAP11,IRF6,ARID1A,ADNP2,APBB1,unannotated_1
STAT5B,0.0009460804,0.0011998926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011315864
MAFB,0.0,0.0,0.0,0.0,0.034212902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017349035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040616304
STAT3,0.0015294965,0.0,0.0,0.0,0.0036341306,0.0,0.0,0.0,0.0035438065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023275686
CD19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009155819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026875497
MYC,0.00215732,0.0,0.0052591744,0.0,0.0069201943,0.0067348885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052060112,0.0,0.024075335,0.0,0.0,0.0303199,0.0,0.0,0.0,0.0,0.0048355623
FCER1G,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15920961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15843356
CCL5,0.0,0.0,0.0,0.0026665768,0.007824204,0.0,0.0,0.014152933,0.012952109,0.040578507,0.0,0.0,0.0,0.0,0.0,0.031187085,0.027995937,0.0,0.0,0.037807375,0.0,0.0,0.0,0.0,0.0,0.0,0.06299962,0.0,0.0,0.0,0.012096441
FASLG,0.0,0.0,0.0,0.0014955592,0.002142092,0.0,0.0,0.002994748,0.0029189924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018751743
MAPK8,0.0008183036,0.0,0.0,0.0011152801,0.001193609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014928405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012186262
MYB,0.0,0.0,0.0,0.00085338135,0.0007861312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015576765
BIRC3,0.0,0.0,0.0,0.0037207848,0.027381308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025067382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031394273
CD86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017256733,0.0,0.01624968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046631587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019129058
CDKN2D,0.0,0.0,0.0,0.0,0.0018540297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0018599656
SOCS1,0.0027250901,0.0,0.0,0.003608972,0.008956986,0.0,0.0,0.0,0.011121525,0.0,0.012506165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011238961
MMP9,0.0,0.0,0.0,0.00078952947,0.0034779836,0.0,0.0,0.0,0.004374403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0051557184
