iteration	tf	gene	wei	cond
0	IRF9	IL7R	0.0	control
0	unannotated_1	IL7R	0.08765965	control
0	STAT5A	JUNB	-0.0	control
0	STAT5B	JUNB	-0.0	control
0	STAT4	JUNB	-0.0	control
0	IRF1	JUNB	-0.0	control
0	STAT3	JUNB	0.061336163	control
0	GTF2I	JUNB	-0.0	control
0	STAT1	JUNB	0.0	control
0	IRF8	JUNB	0.0	control
0	ELF1	JUNB	-0.0	control
0	IRF3	JUNB	-0.0	control
0	IRF5	JUNB	-0.0	control
0	STAT2	JUNB	0.0	control
0	IRF7	JUNB	-0.0	control
0	IRF9	JUNB	-0.0	control
0	unannotated_1	JUNB	-0.046595197	control
0	STAT5A	SLPI	0.0065881913	control
0	STAT5B	SLPI	0.0029040456	control
0	STAT4	SLPI	0.0	control
0	IRF1	SLPI	-0.00091354275	control
0	STAT3	SLPI	0.0028095816	control
0	GTF2I	SLPI	-0.0	control
0	STAT1	SLPI	-0.0014683699	control
0	IRF8	SLPI	-0.0	control
0	ELF1	SLPI	-0.0	control
0	IRF3	SLPI	-0.0	control
0	IRF5	SLPI	0.0	control
0	STAT2	SLPI	0.0	control
0	IRF7	SLPI	0.0	control
0	IRF9	SLPI	0.0	control
0	unannotated_1	SLPI	-0.0066697937	control
0	STAT5A	CAMK4	0.0	control
0	STAT5B	CAMK4	-0.0	control
0	STAT4	CAMK4	-0.0	control
0	IRF1	CAMK4	0.012476139	control
0	STAT3	CAMK4	0.0	control
0	GTF2I	CAMK4	0.0	control
0	STAT1	CAMK4	0.0	control
0	IRF8	CAMK4	0.0	control
0	ELF1	CAMK4	-0.0	control
0	IRF3	CAMK4	0.0	control
0	IRF5	CAMK4	0.0	control
0	STAT2	CAMK4	0.0	control
0	IRF7	CAMK4	0.0	control
0	IRF9	CAMK4	0.0	control
0	unannotated_1	CAMK4	0.01563705	control
0	STAT5A	LGALS3	0.0	control
0	STAT5B	LGALS3	-0.0	control
0	STAT4	LGALS3	-0.0	control
0	IRF1	LGALS3	-0.1655719	control
0	STAT3	LGALS3	0.0	control
0	GTF2I	LGALS3	-0.0	control
0	STAT1	LGALS3	0.24732152	control
0	IRF8	LGALS3	-0.0	control
0	ELF1	LGALS3	-0.0	control
0	IRF3	LGALS3	0.0	control
0	IRF5	LGALS3	-0.0	control
0	STAT2	LGALS3	0.0	control
0	IRF7	LGALS3	-0.0	control
0	IRF9	LGALS3	0.0	control
0	unannotated_1	LGALS3	-0.2331837	control
0	STAT5A	IL6	0.0050515058	control
0	STAT5B	IL6	0.0	control
0	STAT4	IL6	-0.0	control
0	IRF1	IL6	-0.002647912	control
0	STAT3	IL6	0.0075439373	control
0	GTF2I	IL6	-0.0	control
0	STAT1	IL6	-0.002454933	control
0	IRF8	IL6	-0.0	control
0	ELF1	IL6	0.0	control
0	IRF3	IL6	-0.0030631993	control
0	IRF5	IL6	-0.004546601	control
0	STAT2	IL6	-0.004146286	control
0	IRF7	IL6	-0.0	control
0	IRF9	IL6	-0.0	control
0	unannotated_1	IL6	-0.0032202872	control
0	STAT5A	STAT5B	0.00039774764	control
0	STAT5B	STAT5B	0.0011298484	control
0	STAT4	STAT5B	-0.0	control
0	IRF1	STAT5B	0.0	control
0	STAT3	STAT5B	-0.0	control
0	GTF2I	STAT5B	0.0	control
0	STAT1	STAT5B	0.0	control
0	IRF8	STAT5B	0.0	control
0	ELF1	STAT5B	-0.0	control
0	IRF3	STAT5B	0.0	control
0	IRF5	STAT5B	0.0	control
0	STAT2	STAT5B	-0.0	control
0	IRF7	STAT5B	0.0	control
0	IRF9	STAT5B	-0.0	control
0	unannotated_1	STAT5B	0.0036146145	control
0	STAT5A	STAT3	0.0020009028	control
0	STAT5B	STAT3	0.0	control
0	STAT4	STAT3	-0.0	control
0	IRF1	STAT3	0.0	control
0	STAT3	STAT3	0.0037798032	control
0	GTF2I	STAT3	-0.0	control
0	STAT1	STAT3	-0.010089459	control
0	IRF8	STAT3	0.0	control
0	ELF1	STAT3	-0.0	control
0	IRF3	STAT3	0.0	control
0	IRF5	STAT3	-0.0	control
0	STAT2	STAT3	-0.0	control
0	IRF7	STAT3	-0.0	control
0	IRF9	STAT3	0.0	control
0	unannotated_1	STAT3	0.0010061433	control
0	STAT5A	MYC	-0.0044581303	control
0	STAT5B	MYC	0.0	control
0	STAT4	MYC	0.01942963	control
0	IRF1	MYC	-0.0	control
0	STAT3	MYC	-0.013284303	control
0	GTF2I	MYC	0.0	control
0	STAT1	MYC	0.0	control
0	IRF8	MYC	0.0	control
0	ELF1	MYC	0.016459854	control
0	IRF3	MYC	0.0	control
0	IRF5	MYC	-0.0	control
0	STAT2	MYC	0.0	control
0	IRF7	MYC	-0.0	control
0	IRF9	MYC	0.0	control
0	unannotated_1	MYC	0.015123145	control
0	STAT5A	CCL5	0.0	control
0	STAT5B	CCL5	0.0	control
0	STAT4	CCL5	-0.0	control
0	IRF1	CCL5	0.0013422746	control
0	STAT3	CCL5	-0.030794416	control
0	GTF2I	CCL5	-0.0	control
